ID_ESCOLA,TX_RESP_Q019_F,TX_RESP_Q023_F,TX_RESP_Q013_C,TX_RESP_Q012_C,TX_RESP_Q014_C,IN_LABORATORIO_CIENCIAS,TX_RESP_Q012_B,IN_COMUM_EJA_FUND,IN_EJA,TX_RESP_Q042_B,TX_RESP_Q041_C,IN_COMUM_FUND_AF,TX_RESP_Q042_C,TX_RESP_Q004_F,TX_RESP_Q004_H,TX_RESP_Q004_G,IDEB 2017,Classe-IDEB
26127512,9.0,2.0,12.0,6.0,32.0,1.0,28.0,0.0,0.0,17.0,23.0,1.0,4.0,16.0,14.0,7.0,3.4,Abaixo da média
26127571,3.0,4.0,7.0,2.0,22.0,0.0,21.0,1.0,1.0,10.0,7.0,1.0,3.0,8.0,3.0,5.0,3.7,Abaixo da média
26128160,2.0,0.0,2.0,0.0,4.0,0.0,10.0,1.0,1.0,3.0,6.0,1.0,3.0,4.0,0.0,2.0,3.6,Abaixo da média
26128527,1.0,2.0,2.0,2.0,9.0,0.0,4.0,1.0,1.0,10.0,8.0,1.0,3.0,4.0,3.0,4.0,3.3,Abaixo da média
26128594,2.0,1.0,1.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,3.9,Abaixo da média
26128721,9.0,6.0,13.0,2.0,26.0,1.0,23.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4.3,Acima da média
26172712,38.0,19.0,37.0,8.0,60.0,1.0,58.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,Acima da média
26103370,5.0,1.0,0.0,0.0,12.0,0.0,15.0,1.0,1.0,8.0,13.0,0.0,3.0,9.0,1.0,4.0,3.2,Abaixo da média
26086077,2.0,0.0,1.0,0.0,8.0,1.0,22.0,0.0,1.0,1.0,9.0,0.0,0.0,3.0,2.0,1.0,4.6,Acima da média
26305615,1.0,0.0,1.0,1.0,11.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,2.0,4.5,Acima da média
26011069,40.0,19.0,18.0,12.0,57.0,1.0,58.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.4,Acima da média
26011344,10.0,9.0,10.0,0.0,34.0,1.0,42.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,0.0,1.0,4.5,Acima da média
26011352,2.0,3.0,0.0,3.0,4.0,0.0,12.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,3.4,Abaixo da média
26011611,4.0,1.0,5.0,1.0,8.0,1.0,16.0,0.0,0.0,10.0,19.0,1.0,2.0,11.0,3.0,2.0,3.8,Abaixo da média
26011883,11.0,6.0,18.0,5.0,24.0,1.0,28.0,0.0,0.0,2.0,8.0,1.0,3.0,2.0,0.0,1.0,3.9,Abaixo da média
26012081,0.0,0.0,1.0,0.0,3.0,0.0,5.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,4.2,Acima da média
26175509,1.0,2.0,1.0,2.0,3.0,0.0,6.0,0.0,0.0,7.0,3.0,0.0,4.0,4.0,7.0,1.0,3.3,Abaixo da média
26061023,17.0,2.0,6.0,8.0,30.0,1.0,39.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,4.6,Acima da média
26061112,2.0,0.0,0.0,1.0,3.0,0.0,5.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,1.0,3.3,Abaixo da média
26154803,10.0,3.0,6.0,6.0,15.0,0.0,29.0,0.0,1.0,1.0,12.0,0.0,0.0,4.0,2.0,3.0,4.1,Acima da média
26133985,9.0,3.0,3.0,1.0,6.0,0.0,16.0,0.0,0.0,2.0,7.0,0.0,1.0,2.0,0.0,2.0,4.3,Acima da média
26064006,3.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,0.0,6.0,5.0,1.0,4.0,5.0,2.0,0.0,4.4,Acima da média
26148447,3.0,0.0,5.0,6.0,17.0,0.0,46.0,1.0,1.0,34.0,21.0,1.0,7.0,14.0,15.0,6.0,3.6,Abaixo da média
26037599,1.0,2.0,1.0,2.0,20.0,0.0,19.0,0.0,1.0,12.0,15.0,1.0,3.0,7.0,5.0,3.0,2.2,Abaixo da média
26037904,6.0,3.0,3.0,4.0,14.0,0.0,21.0,1.0,1.0,12.0,23.0,1.0,10.0,9.0,5.0,7.0,3.3,Abaixo da média
26140144,11.0,4.0,2.0,4.0,19.0,0.0,39.0,0.0,0.0,17.0,20.0,1.0,8.0,14.0,14.0,8.0,2.4,Abaixo da média
